complaint_id,ward,category,description,date,severity,status,response_time_hours
C095,Ward 6,Safety,Inadequate lighting in the underpass making it unsafe,2026-06-29,High,Open,96
C096,Ward 8,Waste,Illegal dump site forming near railway tracks,2026-06-29,High,Open,100
C097,Ward 6,Drainage,Rainwater logged on street for past 2 days,2026-06-29,Medium,Open,48
C098,Ward 8,Water,Water smells heavily of chlorine,2026-06-29,Medium,Resolved,6
C099,Ward 6,Transport,Bus stop bench is missing,2026-06-30,Low,Resolved,48
C100,Ward 8,Drainage,Sewage water entering cellar of commercial block,2026-06-30,High,Open,18
C101,Ward 6,Waste,Garbage burning near residential building,2026-06-30,High,Open,6
C102,Ward 8,Water,Public water standpost is broken,2026-06-30,Low,In Progress,22
C103,Ward 2,Waste,Garbage pile in front of the elementary school,2026-06-20,High,In Progress,24
C104,Ward 3,Drainage,Clogged rainwater drain at central chowk,2026-06-21,Medium,Open,40
C105,Ward 4,Water,No water supply in Ward 4 sector 2,2026-06-22,High,Resolved,24
C106,Ward 5,Waste,Debris blocking sidewalk for last one week,2026-06-23,Medium,Open,168
C107,Ward 7,Drainage,Wastewater pooling in playground,2026-06-24,High,Open,50
C108,Ward 1,Water,Pipeline leakage near house 24,2026-06-25,Low,Resolved,5
C109,Ward 2,Drainage,Damaged drain cover at main junction,2026-06-26,Medium,Resolved,18
C110,Ward 3,Water,Water supplied only for 10 minutes in morning,2026-06-27,Medium,Open,72
C111,Ward 4,Waste,Stench from open compost pit,2026-06-28,Medium,Resolved,30
C112,Ward 5,Drainage,Blocked sewer line in sector 5 residential lane,2026-06-29,High,In Progress,36
C113,Ward 7,Water,Rusty water supplied from overhead reservoir,2026-06-30,High,Open,48
C114,Ward 1,Waste,Dumping of plastic bottles behind community hall,2026-06-20,Low,Resolved,10
C115,Ward 2,Drainage,Rainwater ponding due to blocked drain mouth,2026-06-21,Low,Resolved,12
C116,Ward 3,Water,Water tank cleaning overdue by 6 months,2026-06-22,Medium,Open,120
C117,Ward 4,Drainage,Silt accumulation in open storm drain,2026-06-23,Medium,In Progress,55
C118,Ward 5,Water,Water supply delayed by 4 hours,2026-06-24,Low,Resolved,4
C119,Ward 7,Waste,Commercial waste dumped near the children hospital,2026-06-25,High,Open,80
C120,Ward 1,Drainage,Sewage leakage on back alley,2026-06-26,High,Open,90
C121,Ward 2,Water,Municipal water valve damaged,2026-06-27,Medium,Resolved,6
C122,Ward 3,Waste,Missed trash pickup on lane 2,2026-06-28,Low,Resolved,24
C123,Ward 4,Drainage,Sewer gas smell coming from drainage vents,2026-06-29,Low,Open,42
C124,Ward 5,Water,Pipeline valve failure causing no water supply,2026-06-30,High,Open,8
C125,Ward 7,Waste,Construction sand piled on road blocking one lane,2026-06-30,Medium,Open,66
